phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
шкаф черный в спальню;Спальни;общий;;131;22;;;34;/catalog/korpusnaya-mebel/shkafyi/f/colorsynonym--chernye;arsenkin_sem+keysso
мебель парк тольятти автозаводское шоссе;Мебель общ.;общий;;39;22;;;20;/news/otkryitie-novogo-firmennogo-magazina-pinskdrev-v-tolyatti;arsenkin_sem+keysso
спальный гарнитур из массива;Спальни;общий;;322;22;;;17;/catalog/korpusnaya-mebel/mebel-dlya-spalni/f/osnovnoymaterial--massivdrevesinyi;arsenkin_sem+keysso
размер кресла стандарт в гостиную;Кресла;общий;;24;22;;;22;/blog/kak-vyibrat-udobnoe-kreslo;arsenkin_sem+keysso
диван беллини;Диваны;общий;;247;22;;;2;/catalog/myagkaya-mebel/divanyi/divan-bellini-15el15er;arsenkin_sem+keysso
кресло омега;Кресла;общий;;1008;22;;;6;/catalog/myagkaya-mebel/kresla/kreslo-omega;arsenkin_sem+keysso
мебель тумбочка;Комоды и тумбы;общий;;12076;22;;19;34;/catalog/korpusnaya-mebel/tumbyi;arsenkin_sem+keysso
белорусский магазин рядом;Белорусская мебель;коммерческий;;962;22;;;27;/shops;arsenkin_sem+keysso
стул из дуба купить;Столы и стулья;коммерческий;;259;22;;;31;/catalog/korpusnaya-mebel/stulya/f/materializgotovleniya--massivduba;arsenkin_sem+keysso
мебель белый воск официальный;Мебель общ.;общий;;361;22;;;27;/catalog/korpusnaya-mebel/krovati/f/izgolove--smyagkoyobivkoy;arsenkin_sem+keysso
кожаный диван угловой цена;Диваны угловые;коммерческий;;106;22;;;9;/catalog/myagkaya-mebel/divanyi-uglovyie/f/obivka--naturalnaya_koja;arsenkin_sem+keysso
угловой диван белорусская мебель;Диваны угловые;общий;;74;22;;;1;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
стол луна;Столы и стулья;общий;;2101;22;;15;17;/catalog/korpusnaya-mebel/stolyi/stol-luna-p049-501;arsenkin_sem+keysso
диван книжка механизм раскладывания;Диваны;общий;;181;22;;;20;/mehanizmyi-transformatsii;arsenkin_sem+keysso
люксор мебель;Мебель общ.;общий;;120;22;;;20;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-lyuksor;arsenkin_sem+keysso
кровать диван раскладной 2х спальный;Диваны;общий;;22;22;;;34;/catalog/myagkaya-mebel/divanyi;arsenkin_sem+keysso
кухонный гарнитур деревянный современный;Кухни;общий;;47;22;;;16;/catalog/kuhni;arsenkin_sem+keysso
портал мебель;Мебель общ.;общий;;378;22;;;40;/;arsenkin_sem+keysso
кресла для гостиной современный стиль минимализм;Кресла;общий;;22;22;;;33;/catalog/myagkaya-mebel/kresla/f/stil--minimalizm;arsenkin_sem+keysso
спальный гарнитур купить в белгороде;Спальни;коммерческий;да;40;22;;;30;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
диванный механизм дельфин;Диваны;общий;;32;22;;;15;/mehanizmyi-transformatsii;arsenkin_sem+keysso
диван кровать классика;Диваны;общий;;334;22;;;21;/catalog/myagkaya-mebel/divanyi/f/stil--klassika;arsenkin_sem+keysso
орион тюмень мебель;Мебель общ.;общий;да;102;22;;;18;/news/otkryitie-novogo-firmennogo-salona-belorusskoy-mebeli-pinskdrev-v-tyumeni;arsenkin_sem+keysso
угловой диван неоклассика;Диваны угловые;общий;;62;22;;;5;/catalog/myagkaya-mebel/divanyi-uglovyie/f/stil--neoklassika;arsenkin_sem+keysso
шкаф монблан;Шкафы;общий;;150;22;;;27;/catalog/korpusnaya-mebel/shkafyi/shkaf-monblan-p4-145-0-02-01;arsenkin_sem+keysso
книжный шкаф валенсия;Шкафы;общий;;60;22;;;22;/catalog/korpusnaya-mebel/shkafyi/shkaf-dlya-knig-valensiya-klassik-p3-0589-2-05;arsenkin_sem+keysso
мебель в гостиную беларусь;Гостиные и стенки;общий;;169;22;;;3;/catalog/korpusnaya-mebel/mebel-dlya-gostinoy;arsenkin_sem+keysso
тумбочка для прихожей с ящиками;Прихожие;общий;;72;22;;;32;/catalog/korpusnaya-mebel/tumbyi/f/naznachenie--v_prihojuyu;arsenkin_sem+keysso
мягкая мебель диван и два кресла;Кресла;общий;;402;22;;;35;/catalog/myagkaya-mebel/naboryi-myagkoy-mebeli;arsenkin_sem+keysso
диван книжка купить в рязани;Диваны;коммерческий;да;123;22;;;43;/catalog/myagkaya-mebel/divanyi/f/transformation--knizhka;arsenkin_sem+keysso
мебельная компания москва;Мебель общ.;общий;да;280;22;;;28;/;arsenkin_sem+keysso
нортон стол;Столы и стулья;общий;;310;22;;;9;/catalog/korpusnaya-mebel/stolyi/stol-pismennyiy-norton-bm2-768-2-46;arsenkin_sem+keysso
бел мебель ру интернет магазин;Мебель общ.;коммерческий;;22;22;;;13;/;arsenkin_sem+keysso
модульные спальни в современном стиле;Диваны модульные;общий;;114;22;;;40;/catalog/korpusnaya-mebel/mebel-dlya-spalni/f/stil--sovremennyiy;arsenkin_sem+keysso
кредо мебель ижевск официальный сайт;Мебель общ.;коммерческий;да;22;22;;;36;/catalog/myagkaya-mebel/divanyi/3-h-mestnyiy-divan-kredo-3m;arsenkin_sem+keysso
тафта мебель;Мебель общ.;общий;;49;22;;;24;/catalog/myagkaya-mebel/tahtyi;arsenkin_sem+keysso
стулья деревянные классика;Столы и стулья;общий;;146;22;;;17;/catalog/korpusnaya-mebel/stulya/f/stil--klassika;arsenkin_sem+keysso
диван лотос купить;Диваны;коммерческий;;116;22;;;37;/catalog/korpusnaya-mebel/krovati/krovat-divan-lotos-bm-2186;arsenkin_sem+keysso
угловой диван с механизмом пума;Диваны угловые;общий;;46;22;;;4;/catalog/myagkaya-mebel/divanyi-uglovyie/f/transformation--puma;arsenkin_sem+keysso
комод обувной;Комоды и тумбы;общий;;120;22;;;24;/catalog/korpusnaya-mebel/tumbyi/f/type--tumba-dlya-obuvi;arsenkin_sem+keysso
кухонные фасады купить в нижнем новгороде;Кухни;коммерческий;да;55;22;;;27;/catalog/kuhni/fasadyi-iz-massiva;arsenkin_sem+keysso
мебель пара;Мебель общ.;общий;;9959;22;;15;35;/;arsenkin_sem+keysso
кровать в стиле неоклассика;Кровати;общий;;77;22;;;17;/catalog/korpusnaya-mebel/krovati/f/stil--neoklassika;arsenkin_sem+keysso
минская мебельная фабрика;Белорусская мебель;общий;;77;22;;;13;/catalog/korpusnaya-mebel;arsenkin_sem+keysso
каталог спальни;Спальни;коммерческий;;3761;22;;13;20;/catalog/korpusnaya-mebel/mebel-dlya-spalni;arsenkin_sem+keysso
мебель марракеш;Мебель общ.;общий;;161;22;;;20;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-marrakesh-15l-r-8r-l/tkan19gruppa;arsenkin_sem+keysso
раскладка дивана;Диваны;общий;;3294;22;;14;4;/blog/kakie-byivayut-mehanizmyi-divanov;arsenkin_sem+keysso
диван наоми угловой;Диваны угловые;общий;;38;22;;;6;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-naomi-2ml-r6mr-l;arsenkin_sem+keysso
диван г;Диваны;общий;;18557;22;;28;18;/catalog/myagkaya-mebel/divanyi-uglovyie;arsenkin_sem+keysso
мебельная фабрика мытищи;Фабрика/производитель;общий;;;21;1130;;;;expand
угловой раскладной диван на кухню;Диваны угловые;общий;;;21;618;;;;expand
угловой диван 8 марта;Диваны угловые;общий;;;21;535;;;;expand
мебельная фабрика муром;Фабрика/производитель;общий;;;21;530;;;;expand
solana сиэтл диван угловой;Диваны угловые;общий;;;21;513;;;;expand
кресло качалка реклайнер;Кресла реклайнеры;общий;;;21;499;;;;expand
мебель из массива на заказ;Мебель из массива;общий;;;21;469;;;;expand
кресло кровать moon family;Кресла-кровати;общий;;;21;468;;;;expand
мебельная фабрика елена;Фабрика/производитель;общий;;;21;439;;;;expand
мебельная фабрика юдиных;Фабрика/производитель;общий;;;21;411;;;;expand
детская кровать из массива дерева;Кровати;общий;;;21;386;;;;expand
угловые диваны с независимым пружинным блоком;Диваны угловые;общий;;;21;368;;;;expand
детское раскладное кресло кровать;Кресла-кровати;общий;;;21;361;;;;expand
стенка без ниши под телевизор в гостиную;Гостиные и стенки;общий;;;21;325;;;;expand
